symboling,normalized-losses,make,aspiration,num-of-doors,body-style,drive-wheels,engine-location,wheel-base,length,width,height,curb-weight,engine-type,num-of-cylinders,engine-size,fuel-system,bore,stroke,compression-ratio,horsepower,peak-rpm,city-mpg,highway-mpg,price,city-L/100km,highway-L/100km,horsepower-binned,fuel-type-diesel,fuel-type-gas
3,119,alfa-romero,std,two,convertible,rwd,front,88.6,0.811148486,0.824967825,0.816053512,2548,dohc,four,130,mpfi,3.47,2.68,9,111,5000,21,27,13495,11.19047619,9.37037037,low,0,1
3,119,alfa-romero,std,two,convertible,rwd,front,88.6,0.811148486,0.824967825,0.816053512,2548,dohc,four,130,mpfi,3.47,2.68,9,111,5000,21,27,16500,11.19047619,9.37037037,low,0,1
1,119,alfa-romero,std,two,hatchback,rwd,front,94.5,0.822681403,0.842985843,0.876254181,2823,ohcv,six,152,mpfi,2.68,3.47,9,154,5000,19,26,16500,12.36842105,9.730769231,medium,0,1
2,164,audi,std,four,sedan,fwd,front,99.8,0.848630466,0.851994852,0.908026756,2337,ohc,four,109,mpfi,3.19,3.4,10,102,5500,24,30,13950,9.791666667,8.433333333,low,0,1
2,164,audi,std,four,sedan,4wd,front,99.4,0.848630466,0.854568855,0.908026756,2824,ohc,five,136,mpfi,3.19,3.4,8,115,5500,18,22,17450,13.05555556,11.5,low,0,1
2,119,audi,std,two,sedan,fwd,front,99.8,0.851994234,0.853281853,0.887959866,2507,ohc,five,136,mpfi,3.19,3.4,8.5,110,5500,19,25,15250,12.36842105,10.12,low,0,1
1,158,audi,std,four,sedan,fwd,front,105.8,0.925997117,0.918918919,0.931438127,2844,ohc,five,136,mpfi,3.19,3.4,8.5,110,5500,19,25,17710,12.36842105,10.12,low,0,1
1,119,audi,std,four,wagon,fwd,front,105.8,0.925997117,0.918918919,0.931438127,2954,ohc,five,136,mpfi,3.19,3.4,8.5,110,5500,19,25,18920,12.36842105,10.12,low,0,1
1,158,audi,turbo,four,sedan,fwd,front,105.8,0.925997117,0.918918919,0.934782609,3086,ohc,five,131,mpfi,3.13,3.4,8.3,140,5500,17,20,23875,13.82352941,12.65,medium,0,1
2,192,bmw,std,two,sedan,rwd,front,101.2,0.849591543,0.833976834,0.908026756,2395,ohc,four,108,mpfi,3.5,2.8,8.8,101,5800,23,29,16430,10.2173913,8.724137931,low,0,1
0,192,bmw,std,four,sedan,rwd,front,101.2,0.849591543,0.833976834,0.908026756,2395,ohc,four,108,mpfi,3.5,2.8,8.8,101,5800,23,29,16925,10.2173913,8.724137931,low,0,1
0,188,bmw,std,two,sedan,rwd,front,101.2,0.849591543,0.833976834,0.908026756,2710,ohc,six,164,mpfi,3.31,3.19,9,121,4250,21,28,20970,11.19047619,9.035714286,medium,0,1
0,188,bmw,std,four,sedan,rwd,front,101.2,0.849591543,0.833976834,0.908026756,2765,ohc,six,164,mpfi,3.31,3.19,9,121,4250,21,28,21105,11.19047619,9.035714286,medium,0,1
1,119,bmw,std,four,sedan,rwd,front,103.5,0.908217203,0.861003861,0.931438127,3055,ohc,six,164,mpfi,3.31,3.19,9,121,4250,20,25,24565,11.75,10.12,medium,0,1
0,119,bmw,std,four,sedan,rwd,front,103.5,0.908217203,0.861003861,0.931438127,3230,ohc,six,209,mpfi,3.62,3.39,8,182,5400,16,22,30760,14.6875,11.5,medium,0,1
0,119,bmw,std,two,sedan,rwd,front,103.5,0.931283037,0.873873874,0.897993311,3380,ohc,six,209,mpfi,3.62,3.39,8,182,5400,16,22,41315,14.6875,11.5,medium,0,1
0,119,bmw,std,four,sedan,rwd,front,110,0.946660259,0.912483912,0.941471572,3505,ohc,six,209,mpfi,3.62,3.39,8,182,5400,15,20,36880,15.66666667,12.65,medium,0,1
2,121,chevrolet,std,two,hatchback,fwd,front,88.4,0.678039404,0.776061776,0.889632107,1488,l,three,61,2bbl,2.91,3.03,9.5,48,5100,47,53,5151,5,4.773584906,low,0,1
1,98,chevrolet,std,two,hatchback,fwd,front,94.5,0.749159058,0.818532819,0.869565217,1874,ohc,four,90,2bbl,3.03,3.11,9.6,70,5400,38,43,6295,6.184210526,5.88372093,low,0,1
0,81,chevrolet,std,four,sedan,fwd,front,94.5,0.763094666,0.818532819,0.869565217,1909,ohc,four,90,2bbl,3.03,3.11,9.6,70,5400,38,43,6575,6.184210526,5.88372093,low,0,1
1,118,dodge,std,two,hatchback,fwd,front,93.7,0.755886593,0.821106821,0.849498328,1876,ohc,four,90,2bbl,2.97,3.23,9.41,68,5500,37,41,5572,6.351351351,6.170731707,low,0,1
1,118,dodge,std,two,hatchback,fwd,front,93.7,0.755886593,0.821106821,0.849498328,1876,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500,31,38,6377,7.580645161,6.657894737,low,0,1
1,118,dodge,turbo,two,hatchback,fwd,front,93.7,0.755886593,0.821106821,0.849498328,2128,ohc,four,98,mpfi,3.03,3.39,7.6,102,5500,24,30,7957,9.791666667,8.433333333,low,0,1
1,148,dodge,std,four,hatchback,fwd,front,93.7,0.755886593,0.821106821,0.846153846,1967,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500,31,38,6229,7.580645161,6.657894737,low,0,1
1,148,dodge,std,four,sedan,fwd,front,93.7,0.755886593,0.821106821,0.846153846,1989,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500,31,38,6692,7.580645161,6.657894737,low,0,1
1,148,dodge,std,four,sedan,fwd,front,93.7,0.755886593,0.821106821,0.846153846,1989,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500,31,38,7609,7.580645161,6.657894737,low,0,1
1,148,dodge,turbo,four,sedan,fwd,front,93.7,0.755886593,0.821106821,0.846153846,2191,ohc,four,98,mpfi,3.03,3.39,7.6,102,5500,24,30,8558,9.791666667,8.433333333,low,0,1
-1,110,dodge,std,four,wagon,fwd,front,103.3,0.839019702,0.831402831,1,2535,ohc,four,122,2bbl,3.34,3.46,8.5,88,5000,24,30,8921,9.791666667,8.433333333,low,0,1
